Date,SP_500,VN_30,VN_Index,VN_Index_volum,XAU_USD,XAU_USD_volum,USD_VND,USD_VND_volum,Gold,Gold_volum,Oil,Oil_volum,Bitcoin,Bitcoin_volum,FPT
2022-10-10,3612.39,1038.93,1042.48,0.63,1667.96,-1.57,23870.0,-0.02,1667.300048828125,195.0,96.19000244140625,24699.0,19141.484375,27425022774.0,62968.0
2022-10-11,3588.84,1001.68,1006.2,-3.48,1665.31,-0.16,23925.0,0.23,1678.699951171875,167.0,94.29000091552734,31431.0,19051.41796875,28711532910.0,62117.0
2022-10-12,3577.03,1034.93,1034.81,2.84,1672.51,0.43,23945.0,0.08,1670.300048828125,149.0,92.44999694824219,29821.0,19157.4453125,24950173846.0,62117.0
2022-10-13,3669.91,1051.24,1050.99,1.56,1665.8,-0.4,24120.0,0.73,1670.0,729.0,94.56999969482422,32826.0,19382.904296875,44219840004.0,62117.0
2022-10-14,3583.07,1061.39,1061.85,1.03,1641.76,-1.44,24110.0,-0.04,1641.699951171875,82.0,91.62999725341797,29344.0,19185.65625,38452356727.0,62968.0
2022-10-15,3614.6966666666667,1056.66,1058.4266666666665,0.3633333333333334,1644.4866666666667,-0.7933333333333333,24176.666666666668,0.24999999999999997,1646.7999674479167,134.0,91.62666575113933,27490.333333333332,19067.634765625,16192235532.0,62911.333333333336
2022-10-16,3646.3233333333333,1051.93,1055.0033333333333,-0.30333333333333323,1647.2133333333334,-0.14666666666666672,24243.333333333332,0.5399999999999999,1651.8999837239583,186.0,91.62333424886067,25636.666666666668,19268.09375,17988916650.0,62854.666666666664
2022-10-17,3677.95,1047.2,1051.58,-0.97,1649.94,0.5,24310.0,0.83,1657.0,238.0,91.62000274658203,23783.0,19550.7578125,27472552998.0,62798.0
2022-10-18,3719.98,1059.06,1063.66,1.15,1651.83,0.11,24430.0,0.49,1649.0,597.0,90.02999877929688,40941.0,19334.416015625,30580012344.0,63734.0
2022-10-19,3695.16,1053.65,1060.07,-0.34,1628.49,-1.41,24450.0,0.08,1627.5,84.0,92.41000366210938,43364.0,19139.53515625,22425387184.0,64245.0
2022-10-20,3665.78,1053.26,1058.45,-0.15,1627.66,-0.05,24530.0,0.33,1630.800048828125,477.0,92.37999725341797,40748.0,19053.740234375,24493974420.0,66202.0
2022-10-21,3752.75,1010.57,1019.82,-3.65,1656.66,1.78,24820.0,1.18,1651.0,224.0,93.5,26861.0,19172.46875,32459287866.0,62883.0
2022-10-22,3767.6133333333332,998.34,1008.5966666666667,-3.533333333333333,1653.9733333333334,1.0233333333333334,24823.333333333332,0.8,1650.2333170572917,159.0,93.42000071207683,27265.333333333332,19208.189453125,16104440957.0,62088.666666666664
2022-10-23,3782.476666666667,986.11,997.3733333333333,-3.4166666666666665,1651.2866666666666,0.2666666666666666,24826.666666666668,0.42000000000000004,1649.4666341145833,94.0,93.34000142415364,27669.666666666668,19567.0078125,22128794335.0,61294.333333333336
2022-10-24,3797.34,973.88,986.15,-3.3,1648.6,-0.49,24830.0,0.04,1648.699951171875,29.0,93.26000213623047,28074.0,19345.572265625,30202235805.0,60500.0
2022-10-25,3859.11,991.52,997.7,1.17,1652.52,0.24,24840.0,0.04,1652.800048828125,880.0,93.5199966430664,22553.0,20095.857421875,47761524910.0,62287.0
2022-10-26,3830.6,990.41,993.36,-0.44,1664.49,0.72,24830.0,-0.04,1664.0,89.0,95.69000244140625,15637.0,20770.44140625,58895950537.0,62798.0
2022-10-27,3807.3,1028.5,1028.01,3.49,1662.94,-0.09,24830.0,0.0,1660.699951171875,2298.0,96.95999908447266,14677.0,20285.8359375,49625110402.0,64500.0
2022-10-28,3901.06,1029.49,1027.36,-0.06,1641.76,-1.27,24820.0,-0.04,1639.5999755859375,626.0,95.7699966430664,12135.0,20595.3515625,43994715910.0,63819.0
2022-10-29,3891.366666666667,1028.6066666666666,1027.5533333333333,-0.019999999999999997,1638.8799999999999,-1.0233333333333334,24826.666666666668,0.0,1638.3666585286458,591.3333333333334,95.4566650390625,15788.666666666666,20818.4765625,40369840645.0,63989.333333333336
2022-10-30,3881.673333333333,1027.7233333333334,1027.7466666666667,0.020000000000000004,1636.0,-0.7766666666666666,24833.333333333332,0.04,1637.1333414713542,556.6666666666666,95.1433334350586,19442.333333333332,20635.603515625,31486345556.0,64159.666666666664
2022-10-31,3871.98,1026.84,1027.94,0.06,1633.12,-0.53,24840.0,0.08,1635.9000244140625,522.0,94.83000183105469,23096.0,20495.7734375,45668466815.0,64330.0
2022-11-01,3856.1,1038.09,1033.75,0.57,1647.5,0.88,24850.0,0.04,1645.0,985.0,94.6500015258789,21355.0,20485.2734375,39819303159.0,73726.0
2022-11-02,3759.69,1025.18,1023.19,-1.02,1634.89,-0.77,24835.0,-0.06,1645.699951171875,612.0,96.16000366210938,28689.0,20159.50390625,55552169483.0,75456.0
2022-11-03,3719.89,1023.8,1019.81,-0.33,1629.15,-0.35,24860.0,0.1,1627.300048828125,1427.0,94.66999816894531,21292.0,20209.98828125,43228750179.0,76774.0
2022-11-04,3770.55,997.92,997.15,-2.22,1680.27,3.14,24870.0,0.04,1672.5,159.0,98.56999969482422,31256.0,21147.23046875,64072727950.0,74100.5
2022-11-05,3782.6333333333337,989.5633333333333,989.83,-2.2133333333333334,1678.4066666666668,1.9833333333333334,24870.0,0.026666666666666665,1673.8333333333333,120.0,98.35333251953125,28360.0,21282.69140625,37846047609.0,71427.0
2022-11-06,3794.7166666666667,981.2066666666667,982.51,-2.206666666666667,1676.5433333333333,0.8266666666666667,24870.0,0.013333333333333332,1675.1666666666667,81.0,98.13666534423828,25464.0,20926.486328125,35082693210.0,70536.5
2022-11-07,3806.8,972.85,975.19,-2.2,1674.68,-0.33,24870.0,0.0,1676.5,42.0,97.91999816894531,22568.0,20602.81640625,53510852236.0,69646.0
2022-11-08,3828.11,980.09,981.65,0.66,1712.52,2.26,24871.0,0.0,1712.0999755859375,23.0,95.36000061035156,28901.0,18541.271484375,118992465607.0,72338.0
2022-11-09,3748.57,979.68,985.59,0.4,1706.32,-0.36,24862.0,-0.04,1710.0999755859375,497.0,92.6500015258789,26729.0,15880.7802734375,102905151606.0,66376.5
2022-11-10,3956.37,936.8,947.24,-3.89,1754.75,2.84,24865.0,0.01,1750.300048828125,325.0,93.66999816894531,31486.0,17586.771484375,83202283721.0,60415.0
2022-11-11,3992.93,948.86,954.53,0.77,1770.69,0.91,24805.0,-0.24,1766.0,257.0,95.98999786376953,23629.0,17034.29296875,55871616488.0,61947.0
2022-11-12,3981.0366666666664,944.6766666666666,950.0333333333333,0.043333333333333446,1771.06,0.6266666666666667,24781.666666666668,-0.25333333333333335,1768.5333251953125,290.6666666666667,95.03999837239583,23405.666666666668,16799.185546875,29717699419.0,61379.666666666664
