Date,EUR
2021-03-23,1455.85
2021-03-24,1463.18
2021-03-25,1475.41
2021-03-26,1468.87
2021-03-29,1448.91
2021-03-30,1437.06
2021-03-31,1439.19
2021-04-01,1466.11
2021-04-02,1466.11
2021-04-05,1466.11
2021-04-06,1471.53
2021-04-07,1462.76
2021-04-08,1472.49
2021-04-09,1463.19
2021-04-12,1454.22
2021-04-13,1464.19
2021-04-14,1448.1
2021-04-15,1467.88
2021-04-16,1481.05
2021-04-19,1474.08
2021-04-20,1477.85
2021-04-21,1495.01
2021-04-22,1488.68
2021-04-23,1475.37
2021-04-26,1466.91
2021-04-27,1478.05
2021-04-28,1465.84
2021-04-29,1454.57
2021-04-30,1469.73
2021-05-03,1469.73
2021-05-04,1495.88
2021-05-05,1485.95
2021-05-06,1504.69
2021-05-07,1511.44
2021-05-10,1513.65
2021-05-11,1503.7
2021-05-12,1517.24
2021-05-13,1508.11
2021-05-14,1514.46
2021-05-17,1524.93
2021-05-18,1527.99
2021-05-19,1546.52
2021-05-20,1537.32
2021-05-21,1542.17
2021-05-24,1539.21
2021-05-25,1541.67
2021-05-26,1557.17
2021-05-27,1551.9
2021-05-28,1557.21
2021-05-31,1557.21
2021-06-01,1552.64
2021-06-02,1558.1
2021-06-03,1540.06
2021-06-04,1554.64
2021-06-07,1548.5
2021-06-08,1554.57
2021-06-09,1556.01
2021-06-10,1551.0
2021-06-11,1554.97
2021-06-14,1539.02
2021-06-15,1538.35
2021-06-16,1535.53
2021-06-17,1495.21
2021-06-18,1493.14
2021-06-21,1489.26
2021-06-22,1487.26
2021-06-23,1501.01
2021-06-24,1496.48
2021-06-25,1496.73
2021-06-28,1493.16
2021-06-29,1475.66
2021-06-30,1488.02
2021-07-01,1503.5
2021-07-02,1508.06
2021-07-05,1509.4
2021-07-06,1531.82
2021-07-07,1529.36
2021-07-08,1526.13
2021-07-09,1521.74
2021-07-12,1511.55
2021-07-13,1536.64
2021-07-14,1540.78
2021-07-15,1545.16
2021-07-16,1544.58
2021-07-19,1538.18
2021-07-20,1547.84
2021-07-21,1528.15
2021-07-22,1529.75
2021-07-23,1529.23
2021-07-26,1524.04
2021-07-27,1521.08
2021-07-28,1520.74
2021-07-29,1539.17
2021-07-30,1539.55
2021-08-02,1526.07
2021-08-03,1527.34
2021-08-04,1545.11
2021-08-05,1521.03
2021-08-06,1499.57
2021-08-09,1480.88
2021-08-10,1470.94
2021-08-11,1484.17
2021-08-12,1488.67
2021-08-13,1503.26
2021-08-16,1517.07
2021-08-17,1528.27
2021-08-18,1524.45
2021-08-19,1524.68
2021-08-20,1520.17
2021-08-23,1535.05
2021-08-24,1539.37
2021-08-25,1521.0
2021-08-26,1520.12
2021-08-27,1524.02
2021-08-30,1524.02
2021-08-31,1537.1
2021-09-01,1529.2
2021-09-02,1527.64
2021-09-03,1533.81
2021-09-06,1534.5
2021-09-07,1521.44
2021-09-08,1511.13
2021-09-09,1511.37
2021-09-10,1518.4
2021-09-13,1519.35
2021-09-14,1516.45
2021-09-15,1522.32
2021-09-16,1486.35
2021-09-17,1497.48
2021-09-20,1499.53
2021-09-21,1513.0
2021-09-22,1511.21
2021-09-23,1490.12
2021-09-24,1490.95
2021-09-27,1500.0
2021-09-28,1484.12
2021-09-29,1497.41
2021-09-30,1506.18
2021-10-01,1515.09
2021-10-04,1510.07
2021-10-05,1510.73
2021-10-06,1524.47
2021-10-07,1524.84
2021-10-08,1533.42
2021-10-11,1520.06
2021-10-12,1533.44
2021-10-13,1542.32
2021-10-14,1552.21
2021-10-15,1528.81
2021-10-18,1521.12
2021-10-19,1529.35
2021-10-20,1525.39
2021-10-21,1529.13
2021-10-22,1554.55
2021-10-25,1555.45
2021-10-26,1540.99
2021-10-27,1546.43
2021-10-28,1544.36
2021-10-29,1533.19
2021-11-01,1547.18
2021-11-02,1545.76
2021-11-03,1522.32
2021-11-04,1555.51
2021-11-05,1559.1
2021-11-08,1572.89
2021-11-09,1576.35
2021-11-10,1615.18
2021-11-11,1622.48
2021-11-12,1625.08
2021-11-15,1633.5
2021-11-16,1641.24
2021-11-17,1647.58
2021-11-18,1636.15
2021-11-19,1647.28
2021-11-22,1614.55
2021-11-23,1589.79
2021-11-24,1591.68
2021-11-25,1595.14
2021-11-26,1593.06
2021-11-29,1584.98
2021-11-30,1595.26
2021-12-01,1580.05
2021-12-02,1561.53
2021-12-03,1562.68
2021-12-06,1576.96
2021-12-07,1584.27
2021-12-08,1571.77
2021-12-09,1573.21
2021-12-10,1572.36
2021-12-13,1583.1
2021-12-14,1576.38
2021-12-15,1570.74
2021-12-16,1586.59
2021-12-17,1604.28
2021-12-20,1591.9
2021-12-21,1592.04
2021-12-22,1582.49
2021-12-23,1592.31
2021-12-24,1592.31
2021-12-27,1592.31
2021-12-28,1592.31
2021-12-29,1582.51
2021-12-30,1595.98
2021-12-31,1595.98
2022-01-03,1595.98
2022-01-04,1603.86
2022-01-05,1610.31
2022-01-06,1584.06
2022-01-07,1578.41
2022-01-10,1583.72
2022-01-11,1591.33
2022-01-12,1591.58
2022-01-13,1588.3
2022-01-14,1598.8
2022-01-17,1592.93
2022-01-18,1604.92
2022-01-19,1610.5
2022-01-20,1629.16
2022-01-21,1619.6
2022-01-24,1616.88
2022-01-25,1636.52
2022-01-26,1626.46
2022-01-27,1622.0
2022-01-28,1603.58
2022-01-31,1600.19
2022-02-01,1600.58
2022-02-02,1594.6
2022-02-03,1566.5
2022-02-04,1575.61
2022-02-07,1588.19
2022-02-08,1595.83
2022-02-09,1598.01
2022-02-10,1600.83
2022-02-11,1606.69
2022-02-14,1650.0
2022-02-15,1627.39
2022-02-16,1637.45
2022-02-17,1666.92
2022-02-18,1672.5
2022-02-21,1671.18
2022-02-22,1676.46
2022-02-23,1683.79
2022-02-24,1733.95
2022-02-25,1676.72
2022-02-28,1704.46
2022-03-01,1730.13
2022-03-02,1736.92
2022-03-03,1746.09
2022-03-04,1780.43
2022-03-07,1821.56
2022-03-08,1863.34
2022-03-09,1793.09
2022-03-10,1816.74
2022-03-11,1812.66
2022-03-14,1780.46
2022-03-15,1749.54
2022-03-16,1741.81
2022-03-17,1752.18
2022-03-18,1750.43
2022-03-21,1754.19
2022-03-22,1737.5
2022-03-23,1755.18
2022-03-24,1787.52
2022-03-25,1777.64
2022-03-28,1761.92
