Date,Close,High,Low,Open,Volume
2020-05-07,1632.6610107421875,1638.2095887006396,1581.7186467241447,1581.7186467241447,621766
2020-05-11,1640.177490234375,1721.1842196400444,1637.2545670083973,1686.944261850019,799690
2020-05-12,1633.49658203125,1667.318980585578,1630.5736586993944,1644.3531544067132,551500
2020-05-13,1580.0487060546875,1630.573519329692,1576.290662092084,1613.8711017181204,483707
2020-05-14,1541.2154541015625,1576.7080885092116,1513.6564673850348,1562.5110347461518,609611
2020-05-15,1603.014404296875,1612.200733261327,1550.8193533624885,1551.6544741774387,540982
2020-05-18,1696.13037109375,1699.9385709336448,1605.1022024826132,1605.1022024826132,540080
2020-05-19,1679.4281005859375,1720.662194303705,1665.231045533744,1715.3382986591325,695745
2020-05-20,1688.6142578125,1701.1410698140764,1651.8689426078759,1694.4601034132356,716471
2020-05-21,1686.9442138671875,1715.3383243976252,1673.5822794999226,1678.5930048876469,689454
2020-05-22,1694.4600830078125,1704.481532488391,1639.759671259655,1686.9439958973787,571613
2020-05-26,1765.445556640625,1767.950919303786,1691.119797633522,1714.5031824896894,617100
2020-05-27,1813.04736328125,1831.4200219602862,1776.414795393276,1795.5098254512611,1046806
2020-05-28,1834.760498046875,1869.2216700352642,1783.818126457954,1848.9575524241152,779155
2020-05-29,1764.6102294921875,1826.4091679599687,1752.0834176406102,1820.5633224292326,1018963
2020-06-01,1746.2376708984375,1790.499075277977,1737.8864625249394,1773.796658530981,487156
2020-06-02,1807.201416015625,1827.9232586946703,1758.7644094865555,1767.9507383110342,769395
2020-06-03,1903.240478515625,1921.6131378080092,1804.696215038291,1839.7712918692066,859189
2020-06-04,1878.186767578125,1899.0647885605408,1835.2039379936527,1886.5379759710913,761155
2020-06-05,1888.2081298828125,1917.4373578995744,1869.0003514717976,1908.2510290943064,809286
2020-06-08,1889.0433349609375,1936.7863124628493,1864.8248306665664,1887.3730932854637,987681
2020-06-09,1820.563232421875,1908.2509110476992,1813.8822664313361,1903.240186554795,840898
2020-06-10,1829.7496337890625,1861.2528118699422,1803.025768758825,1832.2549961356472,688228
2020-06-11,1706.1519775390625,1810.5420887443404,1701.9763730908514,1767.1158024829447,931526
2020-06-12,1745.402587890625,1796.3449600730785,1651.8690520802181,1661.0553814901689,1128970
2020-06-15,1744.5673828125,1767.2742688431015,1688.6142881985998,1703.646462870991,800762
2020-06-16,1808.036865234375,1836.4309776676168,1772.126664215863,1777.1373899393764,1047846
2020-06-17,1790.4989013671875,1829.7495769102181,1762.9399164114425,1808.8715580043506,981784
2020-06-18,1815.1802978515625,1821.959682717488,1774.5039886560094,1775.35141176425,748940
2020-06-19,1807.5535888671875,1848.229900290359,1794.8422415474463,1837.2133992799168,2129863
2020-06-22,1803.31640625,1855.0092167675045,1787.215366908482,1802.4689831267622,1215922
2020-06-23,1830.433837890625,1858.3987993028427,1816.8750687210647,1819.4173379403574,693854
2020-06-24,1758.4029541015625,1842.2978420321913,1758.4029541015625,1826.1968029343936,938156
2020-06-25,1750.7760009765625,1752.4708470568883,1709.2522720085801,1741.4543475347705,989066
2020-06-26,1769.419189453125,1813.2139513087513,1757.609472963488,1782.977957188398,791797
2020-06-29,1813.485595703125,1816.8752884053738,1762.6402051693924,1762.6402051693924,803494
2020-06-30,1777.893798828125,1818.5701107174243,1760.027569633421,1818.5701107174243,954339
2020-07-01,1761.7926025390625,1788.9101413948824,1746.5389869326636,1787.2152952163938,445611
2020-07-02,1800.774169921875,1824.5020178079044,1769.4195137867646,1783.8257071461396,654038
2020-07-03,1771.1141357421875,1821.959517629523,1758.4027902703535,1814.3327103464226,455772
2020-07-06,1823.654541015625,1829.586502812609,1793.1473089168508,1805.0112325108184,645109
2020-07-07,1814.332763671875,1827.0441095173107,1793.1471872628151,1823.6544172918611,454562
2020-07-08,1765.18212890625,1805.0110103554068,1765.18212890625,1788.0625501642762,1310575
2020-07-09,1759.250244140625,1789.7574738078035,1754.165705862762,1788.0626277151825,599540
2020-07-10,1791.452392578125,1791.452392578125,1744.844123140189,1763.4874309153633,703145
2020-07-13,1870.2628173828125,1870.2628173828125,1811.7906223672194,1825.3493922259076,560416
2020-07-14,1896.53271484375,1897.380137862,1837.2131035662421,1845.6873337487432,748158
2020-07-15,1971.953857421875,1981.2755129576037,1902.8379690868946,1906.7022686717744,1086380
2020-07-16,1952.462646484375,1968.5636839336821,1935.5141860114204,1966.0214148627388,638325
2020-07-17,1955.005126953125,1955.0051269531252,1912.6339711890782,1949.9205882614394,405830
2020-07-20,1945.6834716796875,1959.2422415171766,1921.1082013492385,1949.0731641390596,394193
2020-07-21,1912.6339111328125,1966.0215657191516,1912.6339111328125,1959.242181009775,900493
2020-07-22,1916.8709716796875,1923.6503561949116,1887.2111644255808,1909.24416410006,636831
2020-07-23,1913.481201171875,1929.5822387370945,1874.4997418034488,1898.2275866364039,492468
2020-07-24,1940.59912109375,1959.242431427402,1852.4671086073963,1857.5516477893013,610115
2020-07-27,1943.9886474609375,1965.174225571889,1921.9556462255475,1944.8360705853754,601574
2020-07-28,1971.1060791015625,1989.7493868144747,1949.0730790772113,1965.1741175565448,659210
2020-07-29,1968.5640869140625,1996.5290524190837,1956.3908609630241,1964.3269709284532,590706
2020-07-30,1946.5308837890625,1970.2587308705138,1920.2607673774555,1959.24223043984,539330
2020-07-31,1897.3804931640625,1960.0898082574706,1893.9908004563108,1951.6155764880912,789485
2020-08-03,1950.7681884765625,1960.0898435909162,1882.9743330994447,1898.2279505592962,594961
2020-08-04,1951.6153564453125,1982.9700104568092,1925.3452409221668,1953.3102026080962,1025343
2020-08-05,2032.12060546875,2036.3577209930802,1955.005102925941,1955.005102925941,725182
2020-08-06,1990.5970458984375,2045.6795524899226,1980.7331311344567,1984.6650836501237,517047
2020-08-07,1980.4278564453125,1996.5288959286077,1968.563932615516,1978.733010183913,410336
2020-08-10,1992.291748046875,2007.5453641527208,1968.5639007711147,1981.2752475259863,374690
2020-08-11,2013.4771728515625,2036.3575952703304,1999.3761442889545,2013.4771728515625,506141
2020-08-12,2049.0693359375,2060.0858377436157,2007.545598360603,2027.883755541124,372636
