Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
1995-04-18,888.31396484375,888.3139648437499,888.3139648437499,888.3139648437499,0
1995-04-19,886.3338623046875,886.3338623046876,886.3338623046876,886.3338623046876,0
1995-04-20,884.2869873046875,884.2869873046875,884.2869873046875,884.2869873046875,0
1995-04-21,910.2614135742188,910.2614135742188,910.2614135742188,910.2614135742188,0
1995-04-24,918.2314453125,918.2314453125,918.2314453125,918.2314453125,0
1995-04-25,931.2505493164062,931.2505493164064,931.2505493164064,931.2505493164064,0
1995-04-26,938.1990356445312,938.1990356445312,938.1990356445312,938.1990356445312,0
1995-04-27,942.2252807617188,942.2252807617188,942.2252807617188,942.2252807617188,0
1995-04-28,936.2183837890625,936.2183837890626,936.2183837890626,936.2183837890626,0
1995-05-01,944.1881103515625,944.1881103515625,944.1881103515625,944.1881103515625,0
1995-05-02,952.1757202148438,952.1757202148436,952.1757202148436,952.1757202148436,0
1995-05-03,946.1773681640625,946.1773681640624,946.1773681640624,946.1773681640624,0
1995-05-04,942.2252807617188,942.2252807617188,942.2252807617188,942.2252807617188,0
1995-05-05,946.1773681640625,946.1773681640624,946.1773681640624,946.1773681640624,0
1995-05-08,946.1773681640625,946.1773681640624,946.1773681640624,946.1773681640624,0
1995-05-09,953.1895751953125,953.1895751953125,953.1895751953125,953.1895751953125,0
1995-05-10,960.1521606445312,960.1521606445314,960.1521606445314,960.1521606445314,0
1995-05-11,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-05-12,986.109619140625,986.1096191406251,986.1096191406251,986.1096191406251,0
1995-05-15,986.109619140625,986.1096191406251,986.1096191406251,986.1096191406251,0
1995-05-16,970.16259765625,970.16259765625,970.16259765625,970.16259765625,0
1995-05-17,972.1428833007812,972.1428833007812,972.1428833007812,972.1428833007812,0
1995-05-18,971.1181640625,971.1181640624999,971.1181640624999,971.1181640624999,0
1995-05-19,966.1443481445312,966.1443481445311,966.1443481445311,966.1443481445311,0
1995-05-22,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
